"","ming1","ming2","ming3","ming4","ming5","ming6","ming7","ming8","ming9","ming10"
"52","PAFAH1B3","OLR1","ABCB6","TRAP1","PAFAH1B3","TRAP1","SPTBN2","EPAS1","CAV2","ACTG2"
"53","NCOA4","RASSF2","MRPL12","NME4","NCOA4","NME4","PRDX4","GTF3C2","PCDHGC3","CNN1"
"54","EPCAM","SUN2","ARL1","SPTBN2","EPCAM","SPTBN2","IDI1","GREM1","NCOA4","GNG11"
"55","LAPTM4A","KLHL9","ECM2","PRDX4","LAPTM4A","PRDX4","NSUN5P2","MRPL12","LAPTM4A","TNXB"
"56","ARAP1","ACTG2","ARID1A","IDI1","ARAP1","IDI1","NDUFB3","HNRNPU","IMP4","SRPK1"
"57","HNRNPC","GNG11","CDHR1","TARBP2","HNRNPC","TARBP2","FAM107A","ARL1","ARAP1","EPAS1"
"58","NME4","SRPK1","ZWINT","HMOX1","NME4","HMOX1","ABCA3","ECM2","NME4","GTF3C2"
"59","SPTBN2","EPAS1","AKAP13","NSUN5P2","SPTBN2","NSUN5P2","GMFG","ARID1A","SPTBN2","GREM1"
"60","PRDX4","CD302","PSMD14","NDUFB3","PRDX4","NDUFB3","GPC3","TNFRSF11A","PRDX4","ILK"
"61","IDI1","GTF3C2","SRGN","PSMG1","IDI1","PSMG1","EMP3","CDHR1","IDI1","ABCB6"
"62","TARBP2","GREM1","AFF3","FAM107A","TARBP2","FAM107A","GNAI2","ZWINT","TARBP2","HNRNPU"
"63","NSUN5P2","ILK","COL10A1","ABCA3","NSUN5P2","ABCA3","STX12","SPI1","NSUN5P2","ARL1"
"64","ABI1","ARL1","EDRF1","GMFG","ABI1","GMFG","ALOX5","PSMD14","NDUFB3","ECM2"
"65","NDUFB3","ECM2","TSPO","GPC3","NDUFB3","GPC3","OLR1","SRGN","CFD","ARID1A"
"66","FAM114A1","ARID1A","TBCE","EMP3","FAM114A1","EMP3","KLHL9","AFF3","TCF21","CDHR1"
"67","FAM107A","CDHR1","SRPK2","SMAD6","FAM107A","SMAD6","ACTG2","DES","MRC1","ZWINT"
"68","LAMP3","DEFA3","SRPX2","GNAI2","LAMP3","GNAI2","GNG11","EDRF1","ABCA3","SPI1"
"69","GPC3","ZWINT","GALNT3","STX12","GPC3","STX12","ACP5","MAPK13","ANOS1","AKAP13"
"70","EMP3","IMP4","HLTF","ALOX5","EMP3","ALOX5","MSN","TSPO","GMFG","SEC24D"
"71","SMAD6","AFF3","BEAN1","OLR1","SMAD6","OLR1","HCK","TBCE","GNAI2","PSMD14"
"72","STX12","COL10A1","B3GNT3","RASSF2","STX12","RASSF2","SRPK1","SRPK2","STX12","IMP4"
"73","ALOX5","TMEM106C","H3C10","GORASP2","ALOX5","GORASP2","EPAS1","GALNT3","ALOX5","SRGN"
"74","AQP1","DES","CCZ1","ACTG2","AQP1","ACTG2","CD302","PRKDC","ADRB2","AFF3"
"75","OLR1","EDRF1","CDYL","SRPK1","OLR1","SRPK1","GTF3C2","HLTF","OLR1","COL10A1"
"76","RASSF2","ABTB2","ADNP","SECISBP2L","RASSF2","SECISBP2L","ILK","BEAN1","RASSF2","DES"
"77","KLHL9","TSPO","H4C15","EPAS1","KLHL9","EPAS1","ARL1","H3C10","SUN2","EDRF1"
"78","SELP","TBCE","TSPYL1","GTF3C2","SELP","GTF3C2","ECM2","CDYL","KLHL9","TSPO"
"79","GORASP2","SRPK2","SLC22A13","LMOD1","GORASP2","LMOD1","PAWR","POP5","ACTG2","TBCE"
"80","MSN","GALNT3","H2BC4","GREM1","MSN","GREM1","ARID1A","TSPYL1","GNG11","SRPK2"
"81","SRPK1","BEAN1","SRF","ABCB6","SRPK1","ABCB6","CDHR1","SLC22A13","SRPK1","GALNT3"
"82","EPAS1","CCZ1","MRE11","HNRNPU","EPAS1","HNRNPU","DEFA3","H2BC4","KCNA5","BEAN1"
"83","GTF3C2","TIA1","CHRNA1","ARL1","GTF3C2","ARL1","ZWINT","DLAT","EPAS1","CCZ1"
"84","HNRNPU","DDR1","EED","ECM2","HNRNPU","ECM2","PSMD14","SRF","GTF3C2","SHMT2"
"85","ARL1","ARHGEF6","PPP2R5E","ARID1A","ARL1","ARID1A","IMP4","SAC3D1","GREM1","CDYL"
"86","ECM2","PC","HDC","CDHR1","ECM2","CDHR1","SRGN","MRE11","ILK","SLC22A13"
"87","ARID1A","LMO2","PRY","ZWINT","ARID1A","ZWINT","AFF3","CHRNA1","ABCB6","CLNS1A"
"88","CDHR1","SLC22A13","GPR37","SPI1","CDHR1","SPI1","COL10A1","GLB1L2","ARL1","H2BC4"
"89","S100A4","H2BC4","ICOSLG","SRGN","S100A4","SRGN","EDRF1","PRRG2","ECM2","SRF"
"90","ZWINT","SRF","PEX2","AFF3","ZWINT","AFF3","MAPK13","TTI1","PAWR","MRE11"
"91","PSMD14","SAC3D1","RPP38","EDRF1","PSMD14","EDRF1","ABTB2","GYG2","ARID1A","CHRNA1"
"92","SRGN","MRE11","HTATIP2","TSPO","SRGN","TSPO","TSPO","HDC","CDHR1","GPR37"
"93","AFF3","CHRNA1","TARBP1","TBCE","AFF3","TBCE","TBCE","GPR37","DEFA3","RPP38"
"94","COL10A1","PPP2R5E","HMGB3","SRPK2","COL10A1","SRPK2","SRPK2","ZNF195","ZWINT","HTATIP2"
"95","EDRF1","TTI1","EIF2S2","GALNT3","EDRF1","GALNT3","GALNT3","HTATIP2","SPI1","TARBP1"
"96","TSPO","GPR37","IFRD2","CCZ1","TSPO","CCZ1","PRKDC","HMGB3","IMP4","HMGB3"
"97","TBCE","OSBP","FAM30A","CDYL","TBCE","CDYL","BEAN1","UMPS","AFF3","UMPS"
"98","GALNT3","PEX2",NA,"PC","GALNT3","PC","CCZ1","GALNT1","COL10A1","CNTN6"
"99","BEAN1","ZNF195",NA,"TSPYL1","BEAN1","TSPYL1","ARHGEF6","CNTN6","TMEM106C","IFRD2"
"100","H3C10","HTATIP2",NA,"MELK","H3C10","MELK","TSPYL1","IFRD2","DES","JRKL"
"101","CCZ1","TARBP1",NA,"SLC22A13","CCZ1","SLC22A13","MELK","PDIA5","GSPT1","TFAP2C"
"102","TAF9","HMGB3",NA,"H2BC4","TAF9","H2BC4","H2BC4",NA,"EDRF1",NA
"103","ADNP","UMPS",NA,"SRF","ADNP","SRF","DLAT",NA,"TSPO",NA
"104","PC","EIF2S2",NA,"SAC3D1","PC","SAC3D1","SRF",NA,"TBCE",NA
"105","TSPYL1","IFRD2",NA,"MRE11","TSPYL1","MRE11","SAC3D1",NA,"MEF2A",NA
"106","MELK","PDIA5",NA,"CHRNA1","MELK","CHRNA1","MRE11",NA,"SRPK2",NA
"107","H2BC4","TFAP2C",NA,"PPP2R5E","H2BC4","PPP2R5E","CHRNA1",NA,"GALNT3",NA
"108","SRF",NA,NA,"TTI1","SRF","TTI1","TREH",NA,"BEAN1",NA
"109","SAC3D1",NA,NA,"TREH","SAC3D1","TREH","GPR37",NA,"CCZ1",NA
"110","MRE11",NA,NA,"HDC","MRE11","HDC","PEX2",NA,"CDYL",NA
"111","CHRNA1",NA,NA,"CD19","CHRNA1","CD19","ZNF195",NA,"DDR1",NA
"112","FLAD1",NA,NA,"SEMA3A","FLAD1","SEMA3A","HTATIP2",NA,"ARHGEF6",NA
"113","PPP2R5E",NA,NA,"GPR37","PPP2R5E","GPR37","TARBP1",NA,"MELK",NA
"114","MYBL2",NA,NA,"PEX2","MYBL2","PEX2","UMPS",NA,"SLC22A13",NA
"115","TTI1",NA,NA,"ZNF195","TTI1","ZNF195","CLDN7",NA,"H2BC4",NA
"116","LMNB1",NA,NA,"H2BC7","LMNB1","H2BC7","TFAP2C",NA,"SRF",NA
"117","HDC",NA,NA,"N4BP3","HDC","N4BP3",NA,NA,"SAC3D1",NA
"118","GPR37",NA,NA,"BTNL3","GPR37","BTNL3",NA,NA,"MRE11",NA
"119","PEX2",NA,NA,"HTATIP2","PEX2","HTATIP2",NA,NA,"TTI1",NA
"120","RPP38",NA,NA,"TARBP1","RPP38","TARBP1",NA,NA,"HDC",NA
"121","HTATIP2",NA,NA,"HMGB3","HTATIP2","HMGB3",NA,NA,"GPR37",NA
"122","TARBP1",NA,NA,"EIF2S2","TARBP1","EIF2S2",NA,NA,"OSBP",NA
"123","NAE1",NA,NA,"IFRD2","NAE1","IFRD2",NA,NA,"HTATIP2",NA
"124","CBS",NA,NA,"FAM30A","CBS","FAM30A",NA,NA,"TARBP1",NA
"125","UMPS",NA,NA,"KRT10","UMPS","KRT10",NA,NA,"HMGB3",NA
"126","EIF2S2",NA,NA,"JRKL","EIF2S2","JRKL",NA,NA,"UMPS",NA
"127","IFRD2",NA,NA,"TRIP12","IFRD2","TRIP12",NA,NA,"IFRD2",NA
"128","JRKL",NA,NA,NA,"JRKL",NA,NA,NA,"PDIA5",NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,"JRKL",NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,"TFAP2C",NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
