"MEturquoise","MEyellow","MEblue","MEbrown","MEgrey"
0.0247188303401974,-0.00567240700333164,-0.0183529045477189,-0.0401806148958147,0.0445786610333028
0.0373008249219047,-0.00312527179984502,-0.0379381028693269,-0.00764883746058764,0.0172097790618612
-0.00844621232096798,-0.0318906416416819,-0.0264722357661394,-0.00327293794000965,0.0179592610508066
0.0471640548058962,-0.00462195936874959,-0.0367738158481107,-0.000634945937511929,0.0670246854447704
-0.0168117409140641,-0.0422437636697088,-0.0358612353576836,0.0727293344329208,0.00646561943827152
-0.0433415477488188,-0.0289901130047347,-0.00520232092270866,0.0527682930743801,-0.0390423919875969
0.0259500759364948,-0.00373251079630104,-0.0273226111814806,-0.00423618996678063,0.0303133345357055
0.00599890921406424,0.00158661438367738,-4.52961849977641e-05,0.0626941789280484,-0.0198086197320606
-0.00894337773320238,-0.040928344521665,-0.0278088108752444,0.0617292407411751,0.00573083227267194
0.0443385470797286,0.0574779238474803,0.0310115215940026,0.0530920813427303,-0.0185728495997298
0.00498284452492726,-0.0203407427237817,-0.0315894918521619,-0.0715579287961315,0.0630071157180584
0.0802522004973675,-0.00463142199618159,-0.0440248615735406,-0.0449284059529934,0.0923581175050158
0.0216642863666243,-0.00490790246408601,-0.0221911496220953,0.093387973359674,0.0196099290581885
0.0201840174456783,-0.0155434325689554,-0.0249228205920786,0.0484807185010897,0.0384905157753574
0.02465725289175,0.0221338576799368,0.00334354330822369,-0.0235589474389009,0.0172603431978446
0.0112105835914857,-0.00757653007620694,-0.0182186188899827,-0.0245526956904139,0.0363344856850741
-0.023795490298096,-0.0526561786691996,-0.0153339589188522,-0.0308173855493713,0.0777640278470376
0.0707752856049615,0.027967221354267,-0.0116495226652189,-0.0519708035622303,0.00264471976149761
-0.0417365218137191,-0.085034626699464,-0.0499633834325171,0.0392770298742154,0.0235605885793302
-0.0345204266247801,-0.0471093031423161,-0.00807830780546789,-0.0316903292329009,0.0154087571329439
-0.00954567867286949,-0.0343284602987172,-0.031781585184055,-0.0212568666041948,0.039199594424215
-0.0404867388426557,-0.0706341203784829,-0.0470523831850338,-0.0692660935469156,0.0248344807300784
0.0519315666708329,0.0289388136754695,-0.00731567430776994,0.0181720514496075,0.0258823185073194
0.106869362312422,0.0768355747647512,0.00254000920315194,-0.0412689792222997,0.0730748908695617
0.0363362280971509,-0.0128184117002856,-0.0236423035553699,0.0336747436428355,0.0498796779428379
0.01340905955214,0.000244314883355126,-0.0121836315475354,-0.0705130447895541,0.0124623893255452
0.0618060559398991,0.0435641264739064,-0.00218862776034236,-0.04190261638749,0.0511057220617945
-0.049517784511022,-0.0893701094140683,-0.0590905568814528,-0.072776181718336,0.0535336733927406
-0.00624799884588826,-0.0520542687261096,-0.0611935882567016,-0.0726384220120371,0.0650015786182617
0.122304272387806,0.0107990148003406,-0.0343518324906353,-0.0708207071466458,0.153137118074166
-0.0148596578351754,-0.0624229685573787,-0.0565581424503302,0.000250308669400608,0.0563754306115602
0.0354361317232586,0.00395160946188911,-0.0266633442771611,-0.0634016985305687,0.0205767650051343
-0.0594347014424036,-0.067382982292167,-0.0352602930649136,-0.0684087427206923,0.0178169175806176
0.0645666925648523,0.0664130434878221,0.0313255933000466,0.00790671997601194,-0.0143311157551141
0.0553829858053965,0.0256973590279514,-0.00631227764112637,-0.0164459559001775,0.0536095435376727
-0.0190456500734257,-0.0136033987205588,-0.013888812578934,-0.0306952035650794,0.0079515599519534
0.00789812684514513,0.0111955452075084,-0.0123579934149866,-0.0190164279506349,-0.00304576336045947
0.0706332818613806,0.0528781341325951,-0.00952104318126386,0.0214305743715661,0.0225746114498029
-0.0351063420938476,-0.0487545761725352,-0.027964108798187,0.0789453016532108,0.00771008075852981
0.0108605987835204,-0.00878892240099063,-0.0368704968493158,-0.0379132665291633,0.0100822807913302
0.030884695982307,0.0173572812678532,-0.0120784224200245,-0.026681545205245,0.0284557524303261
0.0696549787035753,0.0430699501655793,-0.00845674691137224,0.00841305227589615,0.0039271144726351
0.0223132611731524,0.0169321030275318,-0.0392539346887946,-0.0612726704422021,0.0343375860634104
-0.0327579763933822,-0.00479923965160517,0.00872880709071153,0.0840974794301699,-0.051412143251636
0.0968842799099339,0.109055467241727,0.0217006650470488,0.0380826665827894,-0.0300332334551975
0.0388637996123262,0.0113100711014839,-0.0199852453892282,-0.0249643558705805,0.0446275964560326
0.0262473145010501,0.00263066046348809,-0.0248685724429132,-0.00626152961027092,0.0286987860449334
-0.00956777575859973,0.0290403288402828,0.0239141842010969,-0.00560614634225122,-0.0622950664083889
0.00829301670924476,0.00650631406865883,0.000239451982710069,-0.0101450534634086,-0.0120523394080699
-0.00828676612507669,-0.0623736145528088,-0.0496731076893603,-0.0531192214536356,0.0845526875319984
0.00474973931542517,-0.00179560559117667,-0.0171446331168817,0.0270565342736881,0.0109782022784517
-0.0286514626839359,-0.0265949499517301,-0.0213060484014882,-0.0698158550485133,-7.7244133689324e-05
0.0121791028682873,0.0227620491053167,-0.00379302516473909,0.0066423565398056,-0.0205436837140372
-0.0451820852167454,-0.0613916066423815,-0.0267065216497004,-0.0031861650676965,-0.0113238619759621
0.0372518322889644,0.0505833661213692,0.0301800180373541,0.0390404522224593,-0.0410130534617104
-0.0669394529139814,-0.0735542886902308,-0.0305033768636392,0.0591512510075651,-0.00418459220204101
0.00386175832822044,-0.0366015314052612,-0.0443115025728641,-0.0483998171551377,0.0603499068791926
-0.0363533636382265,-0.0151872857756028,0.00478751989060506,-0.0260191587836008,-0.0233749266038094
-0.0181988713019955,-0.0793843009656218,-0.0552760732451173,-0.0019241886384429,0.079115130450301
-0.0147272953806707,-0.0336147958642841,-0.0273848695500893,0.0383333777157861,0.0267106634588371
-0.0686924124689883,-0.0711877043256864,-0.0169099116692688,-0.016351203148841,0.0172393170170689
-0.0230820794362492,-0.0613548386739083,-0.0469141561354225,-0.0277122098008805,0.04619134956502
-0.0569520889555807,-0.0198232071590641,0.0646802029594994,0.106726828483437,-0.0861731043847822
-0.110992986997955,-0.0880668828389279,-0.0145169528224444,0.105839692898571,-0.0375601782799583
-0.0800542997198651,-0.033957158869182,0.0482665596773128,0.0492722947921965,-0.040277710922133
-0.0247703260491922,0.00385146545052566,0.0168350696971163,0.144475452179421,-0.0630346887378752
0.0447255135754737,0.0710308165416143,0.0365926887232946,0.0659741262149988,-0.0417917670770866
-0.0132751344263937,-0.00890967254508961,-0.0139809542030335,0.0790915370757434,-0.0352274610970469
0.0285413081791496,-0.0379461687039737,-0.055187025444339,-0.0552547348683322,0.0818239034723574
0.091104676855636,0.0694846298697134,0.0157278084242811,0.104208110867141,-0.0105539101538395
-0.0291197576837332,-0.078456105042564,-0.063661710736483,-0.0341412573660985,0.0707831503991207
0.0153566028862266,-0.0212096553982963,-0.0329348447611084,-0.00463851861696859,0.0558661554796707
0.0466774103102274,-0.00797708578518098,-0.0423719688365777,-0.023612131728933,0.0747796824763298
0.0501031745065413,0.0287172561794797,-0.00653805296743792,0.0415524992229018,0.0182722752785313
0.0762948315183496,0.0557058392707076,-0.00754502122601978,-0.0101159165480881,0.0206045569010975
-0.000165319104847511,-0.0791781966941036,-0.0462006518721677,0.0286280165905316,0.0645201391364473
0.0260098485235847,0.0165202622961437,-0.00716341373558556,0.0783898691209551,-0.0260836054968799
-0.0438614059093608,-0.0828751751858595,-0.0546257171101235,-0.0626084454340304,0.0596082182346098
0.0566336288238625,0.020471654089096,-0.0250616786049528,-0.00886860707146636,0.0512505720735018
-0.0230245229102647,-0.0790787957361204,-0.0600143137637524,-0.0103750694151182,0.0702802796344359
0.0354166854041434,-0.0346333680371985,-0.053507527663126,-0.0422394039135192,0.086682774342059
-0.0593135191253548,-0.081036965318939,-0.0220708681381101,-0.0452842702988463,0.0277717568429165
-0.0230362384708862,-0.0544399363245487,-0.0252048460184719,-0.0171855386097605,0.0315313527299058
-0.0695930016723894,-0.0355624067767565,0.0219869978447207,0.011480634715866,-0.0230711007743402
