1,1,1,1,1,1,1,1,1,1
1171,1174,1174,1174,1171,1174,1174,1181,1174,1174
1174,1181,1176,1181,1174,1181,1181,1189,1181,1176
1176,1185,1181,1189,1176,1189,1182,1192,1185,1181
1181,1189,1189,1192,1181,1192,1185,1231,1189,1185
1185,1192,1192,1216,1185,1216,1190,1246,1192,1189
1192,1231,1201,1227,1192,1227,1192,1682,1201,1192
1203,1235,1231,1230,1203,1230,1205,1699,1205,1205
1231,1246,1235,1231,1231,1231,1208,1722,1231,1215
1235,1421,1260,1235,1235,1235,1231,1785,1232,1246
1241,1448,1682,1246,1241,1246,1235,1801,1246,1263
1246,1462,1684,1263,1246,1263,1246,1852,1263,1443
1257,1468,1699,1421,1257,1421,1261,1912,1462,1468
1263,1482,1709,1462,1263,1462,1421,2027,1468,1482
1421,1483,1722,1468,1421,1468,1462,2169,1482,1520
1462,1520,1852,1482,1462,1482,1468,2372,1483,1521
1468,1534,1923,1520,1468,1520,1482,2441,1520,1682
1482,1548,2027,1682,1482,1682,1483,2453,1521,1699
1483,1682,2404,1684,1483,1684,1682,2455,1534,1722
1534,1699,2441,1699,1534,1699,1699,2496,1682,1785
1682,1722,2442,1704,1682,1704,1722,3479,1699,1801
1684,1759,2455,1722,1684,1722,1792,3500,1722,1852
1722,1795,2496,1785,1722,1785,1801,3824,1785,1923
1792,1801,3837,1792,1792,1792,1852,3853,1795,1953
1795,1852,3851,1852,1795,1852,1908,3860,1801,2027
1852,1904,3860,1861,1852,1861,1912,3862,1852,2392
1904,2027,3862,1923,1904,1923,2027,3869,1854,2396
1908,2168,3869,2055,1908,2055,2186,3876,1904,2441
1923,2169,3876,2434,1923,2434,2299,3877,1908,2455
1953,2281,3877,2441,1953,2441,2407,3929,1923,2474
2027,2441,3907,2442,2027,2442,2439,3962,2066,2496
2189,2442,3929,2455,2189,2455,2441,3967,2169,2528
2396,2496,3958,2474,2396,2474,2442,3971,2281,3837
2439,3822,3967,2476,2439,2476,2496,3982,2392,3860
2441,3824,3971,2496,2441,2496,2511,3996,2396,3869
2442,3837,3982,2511,2442,2511,3837,4019,2441,3876
2455,3840,3996,3837,2455,3837,3851,4020,2442,3877
2474,3851,4019,3851,2474,3851,3853,4051,2474,3901
2496,3860,4040,3853,2496,3853,3860,4054,2496,3902
2511,3862,4051,3860,2511,3860,3862,4075,3831,3904
3840,3869,4054,3862,3840,3862,3869,4078,3837,3913
3853,3901,4075,3869,3853,3869,3901,4094,3860,3929
3859,3904,4090,3876,3859,3876,3904,4109,3862,3956
3862,3921,4094,3901,3862,3901,3907,4115,3869,3962
3869,3929,4109,3929,3869,3929,3910,4138,3877,3967
3870,3939,4115,3939,3870,3939,3914,4259,3904,3971
3877,3956,4138,3962,3877,3962,3921,4272,3921,3982
3921,3967,4163,3967,3921,3967,3929,4293,3929,3996
3962,3971,4170,3971,3962,3971,3934,4305,3939,4019
3967,3982,4215,3982,3967,3982,3939,4314,3956,4020
3971,3996,4259,3996,3971,3996,3967,4324,3958,4021
3982,3999,4272,4019,3982,4019,3982,4356,3967,4024
3996,4019,4293,4020,3996,4020,4019,4367,3971,4040
4051,4054,4307,4054,4051,4054,4040,4463,3982,4047
4054,4065,4367,4075,4054,4075,4047,4516,3996,4051
4065,4075,4448,4090,4065,4090,4054,4549,3999,4054
4075,4084,4463,4094,4075,4094,4075,,4019,4065
4090,4094,4472,4109,4090,4109,4078,,4020,4075
4094,4109,4495,4196,4094,4196,4084,,4054,4090
4115,4115,4517,4247,4115,4247,4090,,4065,4094
4138,4170,4549,4259,4138,4259,4094,,4075,4109
4163,4214,,4272,4163,4272,4109,,4090,4115
4205,4222,,4282,4205,4282,4115,,4094,4138
4222,4259,,4286,4222,4286,4121,,4109,4170
4272,4272,,4293,4272,4293,4138,,4115,4192
4282,4282,,4307,4282,4307,4170,,4170,4272
4286,4286,,4324,4286,4324,4214,,4214,4282
4293,4293,,4367,4293,4367,4272,,4259,4286
4324,4307,,4406,4324,4406,4282,,4272,4367
4367,4324,,4460,4367,4460,4284,,4282,4463
4448,4367,,4463,4448,4463,4286,,4286,4519
4463,4463,,4472,4463,4472,4293,,4324,4549
4472,4472,,4549,4472,4549,4367,,4367,
4549,4495,,4556,4549,4556,4463,,4463,
,4500,,,,,4472,,4472,
,4517,,,,,4500,,4495,
,4549,,,,,,,4549,
,,,,,,,,4571,
