ming1,ming2,ming3,ming4,ming5,ming6,ming7,ming8,ming9,ming10
EDRF1,ABTB2,HTATIP2,TBCE,EDRF1,TBCE,EDRF1,NA,ZWINT,COL10A1
TSPO,TBCE,TARBP1,SRPK2,TSPO,SRPK2,MAPK13,NA,SPI1,EDRF1
TBCE,SRPK2,HMGB3,CDYL,TBCE,CDYL,ABTB2,NA,AFF3,TSPO
GALNT3,GALNT3,EIF2S2,MELK,GALNT3,MELK,TSPO,NA,COL10A1,TBCE
BEAN1,CCZ1,IFRD2,SLC22A13,BEAN1,SLC22A13,TBCE,NA,EDRF1,SRPK2
H3C10,ARHGEF6,NA,H2BC4,H3C10,H2BC4,SRPK2,NA,TSPO,GALNT3
ADNP,PC,NA,SRF,ADNP,SRF,GALNT3,NA,TBCE,BEAN1
PC,SLC22A13,NA,MRE11,PC,MRE11,PRKDC,NA,SRPK2,CCZ1
H2BC4,H2BC4,NA,CHRNA1,H2BC4,CHRNA1,BEAN1,NA,GALNT3,SHMT2
SRF,SRF,NA,PPP2R5E,SRF,PPP2R5E,CCZ1,NA,CCZ1,H2BC4
MRE11,MRE11,NA,TTI1,MRE11,TTI1,ARHGEF6,NA,ARHGEF6,SRF
CHRNA1,CHRNA1,NA,GPR37,CHRNA1,GPR37,H2BC4,NA,SLC22A13,MRE11
TTI1,PPP2R5E,NA,N4BP3,TTI1,N4BP3,SRF,NA,H2BC4,GPR37
GPR37,TTI1,NA,BTNL3,GPR37,BTNL3,SAC3D1,NA,SRF,HTATIP2
RPP38,GPR37,NA,HTATIP2,RPP38,HTATIP2,MRE11,NA,MRE11,CNTN6
HTATIP2,HTATIP2,NA,TARBP1,HTATIP2,TARBP1,CHRNA1,NA,TTI1,IFRD2
TARBP1,TARBP1,NA,IFRD2,TARBP1,IFRD2,GPR37,NA,GPR37,NA
IFRD2,HMGB3,NA,FAM30A,IFRD2,FAM30A,HTATIP2,NA,HTATIP2,NA
NA,UMPS,NA,NA,NA,NA,TARBP1,NA,TARBP1,NA
NA,EIF2S2,NA,NA,NA,NA,UMPS,NA,HMGB3,NA
NA,IFRD2,NA,NA,NA,NA,NA,NA,IFRD2,NA
NA,NA,NA,NA,NA,NA,NA,NA,JRKL,NA
