1,1,1,1,1,1,1,1,1,1
1171,1682,1682,1171,1171,1171,1170,1174,1174,1682
1172,1684,1684,1174,1172,1174,1174,1181,1181,1684
1174,1699,1699,1181,1174,1181,1180,1182,1182,1699
1176,1722,1704,1182,1176,1182,1181,1189,1184,1711
1181,1742,1709,1184,1181,1184,1182,1192,1185,1722
1184,1759,1711,1189,1184,1189,1184,1203,1188,1740
1185,1760,1722,1192,1185,1192,1185,1215,1189,1742
1189,1792,1742,1201,1189,1201,1190,1231,1191,1785
1191,1795,1794,1203,1191,1203,1191,1235,1192,1794
1192,1801,1837,1211,1192,1211,1192,1246,1201,1795
1203,1837,1852,1213,1203,1213,1201,1682,1205,1801
1211,1852,1859,1216,1211,1216,1203,1699,1211,1802
1216,1879,1861,1227,1216,1227,1205,1722,1213,1837
1226,1904,1912,1230,1226,1230,1208,1742,1215,1852
1227,1908,1923,1231,1227,1231,1211,1781,1230,1854
1231,1912,2009,1232,1231,1232,1227,1785,1231,1859
1232,1923,2027,1235,1232,1235,1231,1794,1232,1878
1235,1953,2055,1246,1235,1246,1235,1797,1235,1923
1241,2009,2064,1263,1241,1263,1246,1801,1246,1953
1246,2025,2138,1682,1246,1682,1261,1837,1257,1973
1257,2027,2155,1684,1257,1684,1682,1852,1263,2027
1261,2064,2207,1699,1261,1699,1684,1859,1682,2055
1263,2066,2281,1704,1263,1704,1691,1912,1699,2064
1682,2104,2385,1722,1682,1722,1699,1980,1711,2155
1684,2168,2396,1742,1684,1742,1722,2027,1722,2169
1699,2169,2404,1785,1699,1785,1740,2055,1742,2186
1704,2205,2427,1790,1704,1790,1785,2064,1765,2392
1722,2207,2439,1792,1722,1792,1792,2169,1785,2395
1742,2266,2441,1795,1742,1795,1801,2247,1794,2396
1792,2281,2442,1852,1792,1852,1837,2372,1795,2399
1795,2386,2453,1859,1795,1859,1852,2399,1801,2404
1837,2396,2455,1861,1837,1861,1904,2404,1802,2427
1852,2404,2496,1879,1852,1879,1908,2425,1837,2434
1854,2407,2503,1904,1854,1904,1912,2427,1852,2441
1859,2421,2511,1923,1859,1923,1980,2441,1854,2442
1861,2427,3822,2009,1861,2009,1984,2442,1892,2455
1904,2441,3837,2027,1904,2027,2027,2444,1904,2459
1908,2442,3840,2055,1908,2055,2064,2453,1908,2474
