1,1,1,1,1,1,1,1,1,1
1583,1583,1583,1583,1583,1583,1583,1583,1583,1583
1599,1719,1617,1692,1692,1719,1719,1617,1719,1599
1692,1751,1719,1719,1719,1753,1726,1719,1753,1692
1719,1753,1753,1753,1753,1786,1753,1753,1786,1719
1753,1786,1786,1786,1786,1795,1786,1786,1795,1753
1786,1795,1795,1795,1795,1885,1795,1795,1859,1786
1818,1859,2107,1859,1859,2306,1859,1859,2192,1818
1859,1885,2192,1885,1885,3735,1885,2107,2306,1859
2107,2107,2306,2107,2107,3893,1991,2306,2314,2107
2192,2176,2792,2176,2176,3896,2107,3735,3735,2192
2306,2192,3735,2192,2192,3910,2192,3805,3893,2306
2792,2306,3805,2306,2306,,2306,3868,3910,2792
3735,2313,3868,2314,2314,,2313,3893,,3735
3853,2314,3878,2792,2792,,2314,3896,,3853
3868,3491,3893,3304,3304,,2739,3910,,3868
3893,3735,3910,3735,3735,,2792,3945,,3893
3896,3797,3987,3797,3797,,3735,,,3896
3910,3868,3988,3813,3813,,3797,,,3910
3945,3893,3989,3868,3868,,3868,,,3945
3987,3910,3999,3893,3893,,3878,,,3987
3988,3984,4009,3896,3896,,3893,,,3988
3989,3987,4017,3910,3910,,3910,,,3989
3999,3988,4019,3920,3920,,3945,,,3999
4008,3989,4023,3945,3945,,3987,,,4008
4009,3999,4024,3987,3987,,3988,,,4009
4015,4004,4025,3988,3988,,3989,,,4015
4017,4008,4028,3989,3989,,3999,,,4017
4019,4009,4030,3999,3999,,4009,,,4019
4023,4017,4032,4009,4009,,4017,,,4023
4024,4019,4038,4017,4017,,4023,,,4024
4025,4023,4041,4019,4019,,4024,,,4025
4028,4024,4051,4023,4023,,4025,,,4028
4029,4025,4054,4024,4024,,4028,,,4029
4030,4028,4066,4025,4025,,4029,,,4030
4038,4029,4085,4028,4028,,4032,,,4038
4041,4030,4087,4032,4032,,4041,,,4041
4051,4032,4095,4038,4038,,4051,,,4051
4054,4038,4116,4041,4041,,4054,,,4054
4066,4041,4129,4051,4051,,4081,,,4066
4081,4051,4137,4054,4054,,4116,,,4081
4085,4054,4194,4116,4116,,4129,,,4085
4087,4066,4210,4129,4129,,4137,,,4087
4116,4081,4222,4137,4137,,4168,,,4116
4129,4087,4308,4176,4176,,4174,,,4129
4137,4116,4352,4194,4194,,4194,,,4137
4176,4127,4400,4221,4221,,4206,,,4176
4194,4129,4444,4222,4222,,4222,,,4194
4210,4137,4559,4274,4274,,4252,,,4210
4222,4194,4569,4308,4308,,4274,,,4222
4274,4206,4595,4352,4352,,4308,,,4274
4277,4221,4617,4481,4481,,4352,,,4277
4352,4222,,4559,4559,,4400,,,4352
4395,4274,,4569,4569,,4424,,,4395
4415,4352,,4595,4595,,4559,,,4415
4444,4397,,4617,4617,,4569,,,4444
4559,4559,,,,,4588,,,4559
4569,4569,,,,,4595,,,4569
4595,4588,,,,,4617,,,4595
4617,4595,,,,,,,,4617
,4617,,,,,,,,
