"","V1","V2","V3"
"157",0.23174,9.5887e-05,0.0023068
"158",0.24382,2.6226e-05,0.002353
"159",0.23534,8.6161e-05,0.0023315
"160",0.27296,5.3039e-05,0.0026578
"161",0.25886,7.6268e-05,0.0025462
"162",0.23475,7.0294e-05,0.0023101
"163",0.44525,0.0035931,0.0078084
"164",0.2948,4.5014e-05,0.0028582
"165",0.30285,4.2596e-05,0.0029327
"166",0.25909,5.6361e-05,0.0025286
"167",0.27492,2.954e-05,0.0026532
"168",0.23146,8.2269e-05,0.0022906
"169",0.34432,0.0010705,0.0043465
"170",0.25554,5.4711e-05,0.0024932
"171",0.18662,5.4534e-05,0.0018352
"172",0.41615,0.0017587,0.0057138
"173",0.30173,8.1714e-05,0.0029608
"174",0.21426,7.2163e-05,0.0021164
"175",0.29432,5.9302e-05,0.0028678
"176",0.28312,5.9453e-05,0.0027611
"177",0.37543,0.00013391,0.0037159
"178",0.37353,8.3732e-05,0.0036481
"179",0.38779,0.00039991,0.0040973
"180",0.29444,8.1288e-05,0.0028908
"181",0.32619,7.5148e-05,0.0031877
"182",0.18349,0.00011263,0.0018628
"183",0.25976,0.00014816,0.002626
"184",0.31951,5.6754e-05,0.0031057
"185",0.21286,5.8733e-05,0.0020898
"186",0.25431,6.7271e-05,0.0024939
"187",0.23418,0.00010395,0.002338
"188",0.41188,0.00038888,0.0043163
"189",0.29258,7.1284e-05,0.0028631
"190",0.34273,0.00026644,0.003535
"191",0.31135,8.7165e-05,0.003058
"192",0.4069,0.0042906,0.0081333
"193",0.35588,0.00014461,0.0035399
"194",0.32051,0.00011827,0.0031762
"195",0.3421,0.00013047,0.0033943
"196",0.35649,0.00010545,0.0035069
"197",0.36686,0.00017671,0.0036765
"198",0.25249,0.00011706,0.0025258
"199",0.34649,0.00050052,0.0038028
"200",0.31103,9.3819e-05,0.0030615
"201",0.27751,0.00027673,0.0029228
"202",0.38908,0.0014311,0.0051309
"203",0.3113,4.7021e-05,0.0030177
"204",0.26259,6.4297e-05,0.00257
"205",0.28022,8.2189e-05,0.0027559
"206",0.30971,7.1127e-05,0.0030265
"207",0.38841,0.0006352,0.0043363
"208",0.30878,5.453e-05,0.0030011
"209",0.25184,8.1697e-05,0.0024846
"210",0.25822,9.9143e-05,0.0025628
"211",0.25124,6.8433e-05,0.0024657
"212",0.27957,0.00026859,0.0029344
"213",0.39593,0.00073883,0.0045107
"214",0.29253,0.00011291,0.0029039
"215",0.26568,0.00031001,0.0028428
"216",0.23853,9.6486e-05,0.0023722
"217",0.28967,3.2786e-05,0.0027972
"218",0.27777,0.00012578,0.0027757
"219",0.25133,6.0387e-05,0.0024586
"220",0.38819,0.00048402,0.0041844
"221",0.34165,4.8709e-05,0.0033091
"222",0.28045,4.5874e-05,0.0027222
"223",0.30132,9.0497e-05,0.0029656
"224",0.28069,5.0618e-05,0.0027292
"225",0.1829,0.0025769,0.038113
"226",0.18349,0.0046112,0.039863
"227",0.1766,0.0029315,0.037156
"228",0.18989,0.0062162,0.042413
"229",0.18906,0.0061763,0.042217
"230",0.18188,0.0031163,0.038344
"231",0.18986,0.0053532,0.041714
"232",0.18917,0.0056068,0.041781
"233",0.19629,0.0083667,0.045399
"234",0.19813,0.0084885,0.045861
"235",0.18274,0.002646,0.038136
"236",0.20494,0.0072134,0.046178
"237",0.1905,0.003933,0.040699
"238",0.19169,0.0065083,0.043002
"239",0.18222,0.0047295,0.039708
"240",0.17249,0.0035885,0.036873
"241",0.20674,0.0084103,0.047495
"242",0.20501,0.007635,0.046531
"243",0.22838,0.013188,0.055596
"244",0.22561,0.010957,0.053258
"245",0.19253,0.0071983,0.043722
"246",0.21442,0.012472,0.052268
"247",0.19443,0.0060182,0.043149
"248",0.22549,0.010598,0.052947
"249",0.18228,0.0032961,0.038568
"250",0.24375,0.014919,0.060015
"251",0.21003,0.0078874,0.047722
"252",0.24506,0.015764,0.06095
"253",0.22136,0.0086688,0.050584
"254",0.18936,0.0056374,0.041844
"255",0.19022,0.0058808,0.042209
"256",0.2256,0.011365,0.053584
"257",0.21386,0.010347,0.050453
"258",0.23052,0.011394,0.054577
"259",0.22887,0.013309,0.05579
"260",0.23116,0.01257,0.055647
"261",0.18964,0.0039488,0.040542
"262",0.20304,0.0076694,0.046171
"263",0.23566,0.013104,0.056964
"264",0.21685,0.0098934,0.050678
"265",0.21232,0.012301,0.051719
"266",0.23275,0.013029,0.056328
"267",0.21926,0.010708,0.051806
"268",0.23742,0.013326,0.057488
"269",0.18862,0.0040736,0.040441
"270",0.23643,0.014242,0.058028
"271",0.28763,0.029308,0.080216
"272",0.24581,0.016187,0.061438
"273",0.21107,0.0064926,0.046809
"274",0.23651,0.012551,0.056686
"275",0.1865,0.0036186,0.03966
"276",0.23582,0.013964,0.057684
"277",0.17877,0.003546,0.038077
"278",0.22377,0.010663,0.05266
"279",0.26427,0.020754,0.068744
"280",0.19681,0.005504,0.043204
"281",0.25422,0.016051,0.062986
"282",0.211,0.0079379,0.047954
"283",0.24507,0.013488,0.059125
"284",0.31277,0.035809,0.090389
"285",0.28168,0.024736,0.075371
"286",0.20583,0.008574,0.047447
"287",0.2587,0.019122,0.066335
"288",0.19061,0.0043262,0.041037
"289",0.21939,0.009098,0.05054
"290",0.22344,0.012306,0.053913
"291",0.2616,0.016596,0.064879
"292",0.24741,0.017122,0.062505
"293",0.20789,0.0093769,0.048497
"294",0.2492,0.016795,0.062595
"295",0.23254,0.014784,0.057696
"296",0.20524,0.0097778,0.048298
"297",0.24651,0.016565,0.061879
"298",0.25834,0.01969,0.06672
"299",0.20798,0.0098565,0.0489
"300",0.22544,0.013175,0.055006
"301",0.24822,0.017514,0.062979
"302",0.20676,0.010226,0.048957
"303",0.24992,0.016281,0.062323
"304",0.25319,0.018501,0.064751
"305",0.29077,0.028425,0.080126
"306",0.22031,0.01095,0.052208
"307",0.27412,0.022696,0.072243
"308",0.25214,0.016582,0.063004
"309",0.20712,0.0093409,0.048317
"310",0.2281,0.013249,0.05559
"311",0.25769,0.018908,0.065964
"312",0.27312,0.019893,0.069797
"313",0.21503,0.0096054,0.050088
"314",0.25026,0.015501,0.061765
"315",0.27747,0.026595,0.076034
"316",0.32206,0.041371,0.096686
"317",0.23596,0.015266,0.058758
"318",0.24872,0.015871,0.061757
"319",0.32105,0.037504,0.093382
"320",0.27639,0.020652,0.071049
"321",0.27552,0.020066,0.070407
"322",0.31415,0.034492,0.089604
"323",0.2933,0.026047,0.078714
"324",0.24801,0.015774,0.061541
"325",0.27976,0.021789,0.072627
"326",0.28686,0.027833,0.07888
"327",0.27167,0.023698,0.072564
"328",0.27212,0.023307,0.07234
"329",0.2982,0.033018,0.085278
"330",0.27485,0.020136,0.070332
"331",0.23997,0.016297,0.060376
"332",0.23633,0.014746,0.058413
"333",0.26495,0.01922,0.067645
"334",0.31615,0.03981,0.094268
"335",0.28253,0.022324,0.073602
"336",0.23839,0.017247,0.060827
"337",0.27343,0.024563,0.073607
"338",0.27659,0.025237,0.074772
"339",0.26134,0.01923,0.066943
"340",0.22732,0.010442,0.053182
"341",0.22954,0.011741,0.054662
"342",0.27804,0.023593,0.073737
"343",0.27986,0.025715,0.0758
"344",0.23991,0.014435,0.058869
"345",0.38005,0.078044,0.13756
"346",0.29587,0.032926,0.084745
"347",0.28094,0.024385,0.074943
"348",0.31593,0.039805,0.09422
"349",0.27188,0.022188,0.071394
"350",0.25725,0.021603,0.068042
"351",0.29747,0.029053,0.081949
"352",0.25799,0.018669,0.065832
"353",0.24911,0.01751,0.063151
"354",0.31395,0.037101,0.091659
"355",0.26815,0.018743,0.067894
"356",0.25478,0.018387,0.064973
"357",0.28493,0.026388,0.077338
"358",0.28923,0.026673,0.078415
"359",0.32309,0.041855,0.097277
"360",0.24846,0.018391,0.06373
"361",0.27951,0.0279,0.077484
"362",0.29103,0.022989,0.075812
"363",0.28248,0.023948,0.074897
"364",0.28744,0.024518,0.076331
"365",0.32313,0.043289,0.098437
"366",0.27997,0.023537,0.074071
"367",0.2845,0.029032,0.079377
"368",0.30516,0.032898,0.086552
"369",0.30672,0.033698,0.087502
"370",0.30303,0.029175,0.083143
"371",0.28245,0.02666,0.077068
"372",0.2186,0.011771,0.05253
"373",0.29438,0.031775,0.083526
"374",0.25969,0.018684,0.066178
"375",0.33386,0.040643,0.098426
