x,
800,4
801,5
802,5
803,4
804,5
805,4
806,3
807,4
808,4
809,5
810,4
811,5
812,1
813,5
814,5
815,4
816,5
817,4
818,4
819,5
820,4
821,2
822,4
823,4
824,4
825,3
826,4
827,4
828,4
829,4
830,5
831,5
832,3
833,4
834,4
835,5
836,4
837,4
838,5
839,4
840,4
841,4
842,1
843,4
844,4
845,5
846,4
847,3
848,4
849,4
850,4
851,2
852,4
853,4
854,4
855,2
856,4
857,4
858,4
859,3
860,3
861,4
862,4
863,1
864,3
865,4
866,4
867,4
868,4
869,5
870,3
871,5
872,1
873,4
874,3
875,4
876,4
877,3
878,3
879,4
880,2
881,4
882,4
883,4
884,5
885,3
886,5
887,4
888,3
889,1
890,1
891,4
892,4
893,4
894,4
895,2
896,4
897,4
898,5
899,4
900,4
901,5
902,4
903,4
904,4
905,3
906,5
907,4
908,4
909,5
910,3
911,5
912,4
913,4
914,4
915,1
916,4
917,4
918,4
919,4
920,5
921,4
922,5
923,4
924,4
925,4
926,4
927,5
928,5
929,2
930,4
931,4
932,3
933,4
934,5
935,4
936,4
937,5
938,4
939,5
940,2
941,4
942,4
943,5
944,5
945,5
946,4
947,5
948,4
949,1
950,4
951,4
952,5
953,4
954,4
955,5
956,4
957,5
958,3
959,5
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,5
968,4
969,4
970,4
971,4
972,4
973,2
974,2
975,5
976,4
977,5
978,4
979,4
980,4
981,5
982,4
983,4
984,5
985,4
986,5
987,3
988,5
989,4
990,4
991,2
992,5
993,5
994,1
995,4
996,4
997,4
998,4
999,4
1000,5
1001,4
1002,4
1003,4
1004,5
1005,4
1006,4
1007,4
1008,4
1009,3
1010,4
1011,5
1012,5
1013,5
1014,2
1015,5
1016,5
1017,4
1018,4
1019,4
1020,4
1021,2
1022,4
1023,1
1024,5
1025,2
1026,5
1027,4
1028,4
1029,4
1030,5
1031,5
1032,5
1033,2
1034,4
1035,3
1036,4
1037,4
1038,4
1039,4
1040,5
1041,4
1042,4
1043,4
1044,4
1045,4
1046,2
1047,1
1048,5
1049,4
1050,3
1051,4
1052,4
1053,5
1054,4
1055,4
1056,5
1057,4
1058,4
1059,4
1060,4
1061,5
1062,5
1063,4
1064,4
1065,4
1066,4
1067,5
1068,1
1069,1
1070,4
1071,4
1072,5
1073,4
1074,5
1075,4
1076,4
1077,4
1078,4
1079,4
1080,5
1081,5
1082,4
1083,2
1084,4
1085,4
1086,5
1087,4
1088,4
1089,5
1090,5
1091,4
1092,2
1093,4
1094,4
1095,5
1096,5
1097,4
1098,4
1099,4
1100,5
1101,5
1102,4
1103,4
1104,4
1105,4
1106,5
1107,5
1108,4
1109,5
1110,4
1111,4
1112,5
1113,4
1114,2
1115,4
1116,5
1117,4
1118,5
1119,4
1120,4
1121,5
1122,5
1123,5
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,5
1131,5
1132,5
1133,5
1134,5
1135,5
1136,5
1137,4
1138,5
1139,4
1140,4
1141,4
1142,5
1143,4
1144,4
1145,5
1146,4
1147,5
1148,5
1149,5
1150,5
1151,4
1152,4
1153,5
1154,5
1155,5
1156,4
1157,3
