x,
800,5
801,2
802,1
803,5
804,5
805,5
806,1
807,3
808,5
809,5
810,5
811,5
812,2
813,3
814,1
815,5
816,3
817,1
818,5
819,5
820,5
821,1
822,1
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,3
832,5
833,3
834,4
835,3
836,5
837,1
838,1
839,5
840,5
841,5
842,4
843,5
844,1
845,5
846,5
847,5
848,5
849,5
850,5
851,2
852,5
853,3
854,1
855,4
856,1
857,5
858,5
859,5
860,5
861,1
862,1
863,3
864,1
865,5
866,5
867,5
868,5
869,1
870,1
871,2
872,2
873,1
874,5
875,5
876,5
877,5
878,1
879,5
880,1
881,1
882,1
883,5
884,3
885,5
886,1
887,5
888,1
889,2
890,4
891,1
892,5
893,5
894,5
895,1
896,3
897,5
898,2
899,5
900,5
901,1
902,1
903,5
904,5
905,5
906,5
907,1
908,5
909,4
910,5
911,1
912,5
913,5
914,1
915,5
916,5
917,1
918,5
919,5
920,5
921,1
922,3
923,5
924,1
925,5
926,5
927,3
928,1
929,1
930,1
931,1
932,1
933,5
934,3
935,5
936,1
937,1
938,3
939,1
940,2
941,5
942,5
943,5
944,1
945,2
946,5
947,5
948,5
949,3
950,5
951,5
952,1
953,5
954,1
955,5
956,1
957,3
958,5
959,2
960,5
961,5
962,5
963,5
964,1
965,5
966,1
967,2
968,5
969,5
970,5
971,5
972,5
973,3
974,1
975,1
976,5
977,1
978,1
979,1
980,5
981,1
982,5
983,5
984,3
985,3
986,5
987,1
988,3
989,5
990,5
991,1
992,3
993,3
994,4
995,1
996,5
997,5
998,1
999,5
1000,3
1001,1
1002,2
1003,1
1004,1
1005,1
1006,5
1007,5
1008,1
1009,1
1010,1
1011,1
1012,3
1013,1
1014,2
1015,1
1016,2
1017,5
1018,1
1019,5
1020,5
1021,2
1022,5
1023,2
1024,5
1025,1
1026,1
1027,5
1028,5
1029,5
1030,2
1031,5
1032,1
1033,5
1034,5
1035,1
1036,5
1037,5
1038,5
1039,5
1040,3
1041,5
1042,5
1043,1
1044,1
1045,5
1046,5
1047,2
1048,5
1049,5
1050,1
1051,1
1052,5
1053,1
1054,5
1055,1
1056,3
1057,1
1058,1
1059,5
1060,1
1061,5
1062,5
1063,5
1064,5
1065,1
1066,5
1067,2
1068,2
1069,3
1070,5
1071,5
1072,2
1073,1
1074,1
1075,5
1076,5
1077,5
1078,5
1079,5
1080,1
1081,3
1082,5
1083,3
1084,5
1085,5
1086,1
1087,5
1088,1
1089,5
1090,3
1091,5
1092,1
1093,5
1094,5
1095,1
1096,1
1097,1
1098,5
1099,5
1100,2
1101,5
1102,5
1103,1
1104,5
1105,1
1106,1
1107,1
1108,1
1109,2
1110,1
1111,1
1112,5
1113,5
1114,1
1115,5
1116,1
1117,1
1118,5
1119,1
1120,1
1121,5
1122,1
1123,3
1124,1
1125,3
1126,5
1127,1
1128,5
1129,2
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,2
1137,5
1138,2
1139,1
1140,3
1141,1
1142,1
1143,5
1144,1
1145,1
1146,2
1147,1
1148,1
1149,5
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,5
1157,5
