x,
800,4
801,2
802,6
803,4
804,1
805,4
806,6
807,4
808,4
809,4
810,4
811,1
812,2
813,4
814,6
815,4
816,6
817,4
818,4
819,3
820,4
821,6
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,3
831,6
832,4
833,4
834,4
835,6
836,4
837,4
838,4
839,4
840,4
841,4
842,5
843,4
844,4
845,3
846,4
847,4
848,4
849,4
850,4
851,1
852,4
853,4
854,4
855,2
856,6
857,4
858,4
859,4
860,4
861,6
862,4
863,6
864,6
865,4
866,4
867,4
868,4
869,6
870,4
871,2
872,5
873,6
874,4
875,4
876,4
877,4
878,4
879,4
880,6
881,4
882,4
883,4
884,6
885,4
886,4
887,4
888,6
889,2
890,5
891,4
892,4
893,4
894,4
895,6
896,4
897,4
898,2
899,4
900,1
901,6
902,4
903,4
904,4
905,4
906,2
907,4
908,4
909,1
910,4
911,6
912,4
913,4
914,4
915,2
916,4
917,4
918,4
919,4
920,1
921,4
922,4
923,4
924,4
925,6
926,4
927,6
928,6
929,6
930,4
931,4
932,4
933,4
934,6
935,4
936,6
937,6
938,6
939,6
940,6
941,4
942,4
943,4
944,6
945,5
946,4
947,1
948,4
949,6
950,4
951,4
952,6
953,4
954,4
955,4
956,4
957,6
958,4
959,2
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,5
968,4
969,4
970,4
971,4
972,4
973,6
974,6
975,6
976,4
977,6
978,4
979,1
980,4
981,6
982,4
983,4
984,6
985,4
986,6
987,4
988,6
989,4
990,4
991,1
992,4
993,6
994,5
995,4
996,4
997,4
998,4
999,4
1000,6
1001,4
1002,4
1003,4
1004,6
1005,6
1006,4
1007,4
1008,4
1009,4
1010,4
1011,6
1012,6
1013,6
1014,5
1015,6
1016,6
1017,4
1018,4
1019,4
1020,4
1021,6
1022,4
1023,5
1024,1
1025,6
1026,4
1027,4
1028,4
1029,4
1030,1
1031,4
1032,4
1033,6
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,6
1041,4
1042,4
1043,6
1044,4
1045,4
1046,3
1047,3
1048,1
1049,4
1050,6
1051,4
1052,4
1053,6
1054,4
1055,6
1056,6
1057,4
1058,4
1059,4
1060,4
1061,6
1062,4
1063,4
1064,4
1065,6
1066,4
1067,2
1068,6
1069,6
1070,4
1071,4
1072,5
1073,4
1074,6
1075,4
1076,4
1077,4
1078,4
1079,4
1080,6
1081,6
1082,4
1083,6
1084,4
1085,4
1086,6
1087,4
1088,4
1089,1
1090,6
1091,4
1092,6
1093,1
1094,4
1095,6
1096,6
1097,4
1098,4
1099,4
1100,6
1101,1
1102,4
1103,6
1104,4
1105,4
1106,6
1107,6
1108,4
1109,5
1110,4
1111,4
1112,2
1113,4
1114,1
1115,6
1116,4
1117,4
1118,6
1119,6
1120,4
1121,4
1122,4
1123,6
1124,4
1125,6
1126,4
1127,6
1128,4
1129,4
1130,4
1131,3
1132,6
1133,6
1134,6
1135,6
1136,4
1137,4
1138,3
1139,4
1140,4
1141,4
1142,6
1143,4
1144,4
1145,6
1146,4
1147,4
1148,6
1149,3
1150,2
1151,4
1152,4
1153,6
1154,6
1155,6
1156,4
1157,4
