x,
800,4
801,3
802,5
803,4
804,3
805,4
806,5
807,4
808,4
809,2
810,3
811,3
812,7
813,4
814,5
815,8
816,5
817,4
818,4
819,6
820,4
821,8
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,3
831,5
832,4
833,4
834,4
835,5
836,4
837,4
838,4
839,4
840,4
841,5
842,8
843,4
844,4
845,8
846,4
847,4
848,4
849,4
850,4
851,3
852,4
853,4
854,8
855,6
856,8
857,4
858,4
859,4
860,4
861,5
862,4
863,5
864,5
865,8
866,3
867,4
868,4
869,5
870,4
871,3
872,6
873,5
874,4
875,4
876,4
877,4
878,4
879,4
880,5
881,4
882,4
883,4
884,5
885,4
886,4
887,8
888,8
889,2
890,5
891,4
892,4
893,4
894,3
895,5
896,4
897,4
898,3
899,4
900,3
901,8
902,4
903,4
904,4
905,4
906,2
907,4
908,4
909,6
910,4
911,5
912,8
913,4
914,4
915,6
916,4
917,4
918,4
919,4
920,3
921,4
922,5
923,4
924,4
925,8
926,4
927,8
928,8
929,5
930,4
931,4
932,4
933,8
934,5
935,4
936,8
937,5
938,5
939,8
940,5
941,8
942,4
943,8
944,5
945,3
946,4
947,3
948,4
949,8
950,4
951,8
952,5
953,4
954,4
955,8
956,4
957,5
958,4
959,7
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,6
968,4
969,4
970,3
971,4
972,4
973,5
974,5
975,8
976,4
977,8
978,4
979,3
980,4
981,8
982,4
983,8
984,5
985,4
986,5
987,4
988,8
989,4
990,3
991,3
992,4
993,8
994,8
995,8
996,4
997,4
998,4
999,8
1000,5
1001,4
1002,8
1003,8
1004,5
1005,8
1006,4
1007,4
1008,4
1009,4
1010,4
1011,5
1012,5
1013,5
1014,6
1015,5
1016,8
1017,3
1018,5
1019,4
1020,4
1021,5
1022,4
1023,6
1024,3
1025,5
1026,4
1027,4
1028,4
1029,4
1030,6
1031,8
1032,8
1033,8
1034,4
1035,8
1036,4
1037,4
1038,4
1039,4
1040,5
1041,4
1042,8
1043,8
1044,8
1045,4
1046,3
1047,3
1048,2
1049,4
1050,5
1051,4
1052,4
1053,8
1054,8
1055,8
1056,5
1057,4
1058,4
1059,4
1060,8
1061,8
1062,4
1063,4
1064,4
1065,8
1066,4
1067,3
1068,8
1069,5
1070,4
1071,4
1072,6
1073,4
1074,8
1075,4
1076,4
1077,4
1078,4
1079,4
1080,8
1081,5
1082,4
1083,5
1084,4
1085,4
1086,8
1087,8
1088,4
1089,6
1090,5
1091,4
1092,5
1093,3
1094,4
1095,5
1096,8
1097,4
1098,3
1099,8
1100,8
1101,2
1102,4
1103,5
1104,8
1105,4
1106,8
1107,5
1108,4
1109,6
1110,4
1111,4
1112,7
1113,8
1114,3
1115,8
1116,8
1117,4
1118,8
1119,8
1120,4
1121,4
1122,4
1123,5
1124,8
1125,5
1126,4
1127,4
1128,4
1129,8
1130,8
1131,8
1132,8
1133,8
1134,8
1135,5
1136,8
1137,4
1138,3
1139,4
1140,4
1141,8
1142,5
1143,4
1144,4
1145,5
1146,8
1147,8
1148,8
1149,3
1150,3
1151,4
1152,4
1153,8
1154,8
1155,8
1156,8
1157,8
