V1,V2
X1,0.168241366
X2,0.124240981
X3,0.127025805
X4,0.070711944
X5,0.029415783
X6,0.101482521
X7,0.226119359
X8,0.150844167
X9,0.101482521
X10,0.17565472
X11,0.150844167
X12,0.226119359
X13,0.202542267
X14,0.180358496
X15,0.202542267
X16,0.136288724
X17,0.247597364
X18,0.180358496
X19,0.247597364
X20,0.247597364
X21,0.158299325
X22,0.207812659
X23,0.184933147
X24,0.024426804
