MEturquoise,MEred,MEblue,MEbrown,MEgreen,MEyellow,MEgrey
X11,X10,X6,X7,X8,X12,X9
-0.117745447,0.047277619,0.149576474,0.146644862,0.060262747,0.04740096,0.099379597
-0.322776568,0.292629807,-0.20150527,0.071593765,-0.078654652,-0.30446699,0.176977519
0.72459272,0.131921621,0.059157226,-0.082388687,0.427893468,0.536050062,-0.034302742
-0.230882597,0.356642874,-0.058394846,0.15724032,0.00953965,-0.153768015,0.266799215
-0.136761851,0.002624973,-0.07793456,0.068472046,0.019742171,-0.124601385,-0.117958539
0.023605605,0.130713886,0.290372611,0.282842073,0.35654803,0.291202644,-0.063764332
0.168326188,-0.267273592,-0.643970145,-0.650201259,-0.47359509,-0.433725481,-0.462313582
0.280916556,-0.11877424,-0.075040466,-0.176416526,0.009339853,0.147617556,0.401717769
0.077431027,0.433762343,0.227185473,0.211846534,0.186403,0.246371419,0.298843358
-0.258431217,-0.004555007,0.183240838,0.140042797,-0.030781258,-0.040215344,-0.00482774
0.014306422,-0.025112106,0.148315334,0.111853101,0.061561194,0.132561127,0.298589987
-0.223446878,-0.133325625,0.227906665,0.161446913,0.041620306,-0.015231033,-0.262356823
-0.101508118,-0.214972282,-0.370132191,-0.320512011,-0.454055681,-0.396164972,-0.198899497
0.049530117,-0.237757437,0.139939693,0.036848178,0.019944182,0.102182414,0.118800507
-0.102619735,-0.200458791,0.117580016,0.076309309,0.04535874,0.001540508,-0.426824169
-0.019255729,0.288494462,0.145685422,0.167276948,0.203606786,0.115113356,-0.100357658
0.174719506,-0.481838506,-0.261982273,-0.402898362,-0.404733448,-0.151866827,0.010497132
