MEyellow,MEbrown,MEblue,MEturquoise,MEgrey
X5,X2,X1,X4,X3
-0.07172695,0.003365696,0.046147388,0.019355947,-0.028508264
-0.001074203,0.007218815,0.019130479,0.041381733,-0.04372274
-0.010603026,-0.014247347,-0.039063408,-0.018265155,-0.01787516
0.003758809,0.005278777,0.073719649,0.053088559,-0.07185893
0.100744656,-0.05023416,-0.040847627,-0.032601588,-0.012904586
0.071641798,-0.010670674,-0.106345584,-0.065190698,0.068943697
-0.002578789,-0.010187758,0.039929882,0.027238483,-0.032794977
0.105376132,0.03189308,-0.032102233,0.005449438,0.0617259
0.092229983,-0.035607354,-0.023041559,-0.027330774,-0.00274634
0.120815526,0.115107969,-0.014492931,0.057814665,0.101663216
-0.136904726,-0.041863055,-0.029003012,0.004602999,-0.070672803
-0.075894512,-1.59E-05,0.205399345,0.075300683,-0.115394917
0.141345213,-0.010113763,0.0464219,0.021196182,-0.006330749
0.029335192,0.001423192,0.02558805,0.014111791,-0.027192695
-0.039576276,0.069621031,0.000286723,0.028595933,0.024747236
-0.022316495,-0.006132467,0.029400569,0.004744455,-0.021918693
-0.051522191,-0.085985741,-0.004130245,-0.039553114,-0.043742422
-0.074951611,0.057230319,0.012649551,0.082259818,-0.012483899
0.052099909,-0.106348358,0.01237284,-0.085815605,-0.037368377
-0.066561094,-0.035514705,-0.08622117,-0.052781021,0.013961859
-0.043341849,-0.06031132,-0.025900347,-0.022625697,-0.045303429
-0.133733119,-0.124683124,-0.097035696,-0.064155414,-0.084107726
0.034440225,0.060026065,0.039085859,0.071438508,0.003811112
-0.046160224,0.105165972,0.123843055,0.135372018,-0.038897433
0.052565673,0.002867149,0.052591791,0.030482811,-0.028234607
-0.112223426,0.005676997,-0.02797286,0.014761368,-0.018992297
-0.053827883,0.078059165,0.071335996,0.082615598,-0.015588544
-0.147438033,-0.127042394,-0.06290408,-0.0808349,-0.102699817
-0.132028303,-0.079680012,0.007026475,-0.017865689,-0.107710197
-0.129805475,0.007161103,0.200613264,0.113631951,-0.169823562
-0.00672037,-0.103329625,0.034060889,-0.046574874,-0.08660675
-0.101659979,0.014435913,-0.021927481,0.048419296,-0.036631841
-0.127523558,-0.086124681,-0.092739007,-0.088451731,-0.034963909
0.038278282,0.117863166,0.04530059,0.077706003,0.089055887
-0.02897861,0.05009226,0.035888787,0.070012106,-0.011565266
-0.063350459,-0.021565953,-0.080852746,-0.033089886,0.020280606
-0.009165618,0.029344847,-0.048458197,0.01210635,0.016142873
0.043343342,0.089817811,0.04869889,0.095816301,0.005045251
0.09869434,-0.064199754,-0.032063415,-0.060979348,-0.005607726
-0.071524723,-0.023633722,-0.050621494,0.007788818,-0.029100751
-0.041743431,0.020595944,0.019013148,0.033186245,0.003817827
0.005571886,0.093369579,0.066214893,0.087301996,0.01770599
-0.10581311,-0.007660654,0.003714917,0.025172042,-0.057063234
0.130869978,0.034756733,-0.084059026,-0.059917086,0.105264662
0.066193158,0.173347149,0.017336326,0.13492266,0.079541395
-0.022356024,0.021407836,0.040493948,0.048430369,-0.032214827
-0.011744988,0.009471764,0.0798506,0.013244298,-0.013050248
0.021532615,0.060228916,-0.107852219,-0.013463494,0.116385629
0.001608131,0.023456395,-0.025002526,0.001805778,0.058152466
-0.097115989,-0.098482414,0.051782854,-0.030828102,-0.109545099
0.063443233,-0.006789013,-0.012956646,0.000389725,-0.005790751
-0.116603093,-0.028143734,-0.086586019,-0.042707192,-0.001860493
0.013425013,0.039081956,-0.044782492,0.017351693,0.051501103
-0.006299815,-0.055845048,-0.029870462,-0.077425254,0.018307868
0.080373201,0.109733827,-0.043084498,0.048743512,0.115269716
0.091467083,-0.102496996,-0.078868039,-0.103051742,0.012147101
-0.089589474,-0.048519854,0.025156577,-0.004015533,-0.080322504
-0.022434129,-0.00538436,-0.113683079,-0.057801064,0.069875754
-0.008124615,-0.116019605,0.015543027,-0.034835256,-0.102023923
0.088172644,-0.0377935,0.016440256,-0.031389785,-0.012639814
-0.03851812,-0.10099844,-0.102143366,-0.105182514,0.011041876
