0.18428,0.029688,0.077866
0.18689,0.033781,0.081498
0.21657,0.051625,0.10303
0.19917,0.039964,0.08958
0.21558,0.053188,0.1038
0.21659,0.051024,0.10262
0.22578,0.06464,0.11486
0.2015,0.041895,0.091634
0.22142,0.055023,0.10688
0.17674,0.022342,0.070459
0.2276,0.060589,0.11264
0.21894,0.051947,0.10399
0.20132,0.041455,0.091275
0.20352,0.041741,0.09216
0.22249,0.055673,0.10766
0.21516,0.049843,0.10136
0.25061,0.081478,0.13419
0.24494,0.076759,0.12917
0.24318,0.07504,0.12744
0.23063,0.063095,0.11531
0.23058,0.066643,0.11773
0.24141,0.06938,0.12299
0.25092,0.079161,0.13269
0.24698,0.078249,0.13083
0.19898,0.037019,0.087492
0.2411,0.07553,0.12713
0.21699,0.050138,0.10214
0.2023,0.039122,0.089977
0.23178,0.068692,0.11952
0.24431,0.076696,0.12893
0.27505,0.10123,0.1554
0.24348,0.072166,0.12555
0.25312,0.083166,0.13613
0.2046,0.044588,0.094456
0.25573,0.084352,0.13776
0.2529,0.083183,0.13607
0.23752,0.072038,0.12361
0.26389,0.091608,0.1453
0.27131,0.099543,0.15307
0.25404,0.080529,0.1346
0.2017,0.041394,0.091353
0.25221,0.083114,0.13581
0.24255,0.069682,0.12356
0.24991,0.080798,0.1335
0.27018,0.096477,0.15061
0.24513,0.075382,0.12828
0.25763,0.084841,0.13869
0.22678,0.055068,0.10858
0.23504,0.068954,0.12071
0.25428,0.08457,0.13746
0.22356,0.054802,0.10739
0.22011,0.052132,0.10448
0.26785,0.094931,0.14882
0.24541,0.072441,0.12635
0.26873,0.096081,0.14989
0.28332,0.10791,0.16258
0.25655,0.087278,0.14003
0.23466,0.061234,0.11528
0.26137,0.0901,0.14348
0.25904,0.084115,0.13863
0.22701,0.057441,0.11029
0.22893,0.06092,0.11328
0.27359,0.099294,0.15361
0.26081,0.087355,0.14141
0.2461,0.072758,0.12678
0.26065,0.089055,0.14253
0.27922,0.10499,0.15929
0.27383,0.10048,0.1545
0.23396,0.063086,0.11634
0.26649,0.093266,0.14725
0.27981,0.10614,0.16026
0.25691,0.084835,0.13846
0.27028,0.097313,0.15122
0.2894,0.11367,0.16844
0.27427,0.10048,0.15464
0.24634,0.072732,0.12684
0.24647,0.076279,0.12932
0.27043,0.096205,0.1505
0.27709,0.10372,0.15775
0.27026,0.097788,0.15154
0.26595,0.091789,0.14606
0.27973,0.10522,0.15961
0.25232,0.083179,0.13589
0.25977,0.088799,0.14208
0.266,0.092936,0.14687
0.27876,0.10359,0.15818
0.28279,0.10829,0.16267
0.2317,0.059464,0.11314
0.25324,0.080777,0.13452
0.24622,0.078203,0.13057
0.28964,0.11437,0.16899
0.24663,0.073699,0.12759
0.28152,0.10786,0.16198
0.24181,0.0716,0.12464
0.30537,0.12834,0.18351
0.26665,0.093371,0.14737
0.29777,0.1211,0.17616
0.29506,0.11914,0.17396
0.26544,0.089979,0.14466
0.20128,0.037486,0.08853
