0.25944,0.047688,0.1112
0.25166,0.043165,0.1057
0.25907,0.048247,0.11148
0.28942,0.072984,0.1379
0.27233,0.059066,0.12303
0.27207,0.058597,0.12262
0.27757,0.062515,0.12701
0.24077,0.03157,0.094311
0.26621,0.05349,0.11729
0.28189,0.066072,0.1308
0.25457,0.04716,0.10937
0.28433,0.069696,0.13407
0.29922,0.084391,0.14882
0.29012,0.074556,0.13921
0.26416,0.050449,0.11454
0.31148,0.095873,0.16054
0.34461,0.1269,0.19219
0.30856,0.095295,0.15926
0.29877,0.088034,0.15124
0.2889,0.073053,0.13779
0.33231,0.11513,0.18027
0.26267,0.055344,0.11752
0.31613,0.098943,0.16408
0.29996,0.086694,0.15066
0.31158,0.093908,0.15919
0.27048,0.056657,0.12078
0.32287,0.10604,0.17107
0.29799,0.080452,0.1457
0.32177,0.1052,0.17015
0.31603,0.098726,0.1639
0.29451,0.084654,0.14759
0.28939,0.072272,0.13739
0.31179,0.09628,0.16091
0.33529,0.11781,0.18304
0.31011,0.092639,0.15786
0.31674,0.099918,0.16494
0.28062,0.066182,0.1305
0.33332,0.11563,0.18091
0.29555,0.078242,0.14341
0.31927,0.10518,0.16939
0.3342,0.11656,0.18183
0.29414,0.076521,0.14179
0.32248,0.10747,0.17195
0.28788,0.071099,0.13611
0.33075,0.11303,0.17833
0.34602,0.12829,0.19359
0.30964,0.095958,0.16004
0.31209,0.096204,0.16095
0.3481,0.13054,0.19579
0.34767,0.13037,0.19554
0.33572,0.1181,0.18337
0.32006,0.10248,0.16773
0.33539,0.11776,0.18303
0.32695,0.11102,0.17578
0.33244,0.11472,0.18002
0.33965,0.12229,0.18748
0.33546,0.11781,0.18309
0.29716,0.07954,0.14481
0.32621,0.10897,0.17413
0.34637,0.12835,0.19374
0.32808,0.11509,0.17896
0.34359,0.12761,0.19239
0.33269,0.11512,0.18037
0.33039,0.11266,0.17796
0.32346,0.10674,0.17174
0.30408,0.086776,0.15195
0.33171,0.11581,0.18056
0.32974,0.11173,0.17712
0.31479,0.10068,0.16489
0.34088,0.12289,0.18826
0.29325,0.076385,0.14143
0.3237,0.11407,0.17694
